순번,대분류,도서명,저자,발행처(출판사)
113,도서,우정과 가족애를 길러 주는 이야기10 : 엄마 찾아 삼만 리,에드몬도 데 아미치스 원작 / 조항록 글 / 장은정 그림,한국헤밍웨이
114,도서,따뜻한 감성을 키워 주는 이야기1 : 피노키오,콜로디 원작 / 송종호 글 / 황지영 그림,한국헤밍웨이
115,도서,따뜻한 감성을 키워 주는 이야기2 : 성냥팔이 소녀,안데르센 원작 / 조항록 글 / 정현아 그림,한국헤밍웨이
116,도서,따듯한 감성을 키워 주는 이야기3 : 파랑새,마테를링크 원작 / 이림 글 / 지정숙 그림,한국헤밍웨이
117,도서,따뜻한 감성을 키워 주는 이야기4 : 키다리 아저씨,진 웹스터 원작 / 김현애 글 / 성수임 그림,한국헤밍웨이
118,도서,따뜻한 감성을 키워 주는 이야기5 : 어린왕자,생텍쥐페리 원작 / 신현배 글 / 신혜정 그림,한국헤밍웨이
119,도서,따뜻한 감성을 키워 주는 이야기6 : 마지막 잎새,O.헨리 원작 / 김현애 글 / 강정선 그림,한국헤밍웨이
120,도서,따뜻한 감성을 키워 주는 이야기7 : 거인의 정원,오스카 와일드 원작 / 송종호 글 / 윤순정 그림,한국헤밍웨이
121,도서,따뜻한 감성을 키워 주는 이야기8 : 별,알퐁스 도데 원작 / 신현배 글 / 이갑규 그림,한국헤밍웨이
122,도서,사랑과 감동을 주는 이야기6 : 난쟁이와 구둣방 할아버지,그림형제 원작 / 조항록 글 / 양민숙 그림,한국헤밍웨이
123,도서,사랑과 감동을 주는 이야기7 : 행복한 왕자,오스카 와일드 원작 / 송종호 글 / 서연희 그림,한국헤밍웨이
124,도서,사랑과 감동을 주는 이야기8 : 백조왕자,안데르센 원작 / 조항록 글 / 장혜련 그림,한국헤밍웨이
125,도서,사랑과 감동을 주는 이야기10 : 호두까기 인형,호프만 원작 / 배효정 글 /정호선 그림,한국헤밍웨이
126,도서,신나는 모험을 떠나는 이야기1 : 알라딘의 요술 램프,아라비아 설화 원작 / 조항록 글 / 한경호 그림,한국헤밍웨이
127,도서,신나는 모험을 떠나는 이야기4 : 이상한 나라의 앨리스,루이스 캐럴 원작 / 신현배 글 / 조형윤 그림,한국헤밍웨이
